Play Count,Track,Artist,Album,Spotify URI
7,hot tub TIME Machine,tobi lou,hot tub TIME Machine,spotify:track:3uqOR8ycR9oZJoTEPXSUvy
7,Save Your Tears,The Weeknd,After Hours,spotify:track:5QO79kh1waicV47BqGRL3g
7,T N Biscuits,slowthai,Nothing Great About Britain,spotify:track:2tU2dbpcLijyxcINyyzx4v
7,Burning,Chase & Status,RTRN II JUNGLE,spotify:track:4zrn6BkANQpp9yKiaKgTaz
7,Bruuuh (with Denzel Curry) - Remix,JID,Bruuuh (with Denzel Curry),spotify:track:5LghBGmNUUwI2BvX2boIdK
7,Just Keep Goin',tobi lou,tobi lou and the Juice,spotify:track:65lskbT8WoXr7GT3YVjRqW
7,BERETTA (feat. Wifisfuneral),$NOT,- TRAGEDY +,spotify:track:0lB24x4SNbi8lLhUAsdoMO
7,Mean,$NOT,Beautiful Havoc,spotify:track:3PXi72ZtSqx1PZc40KS0Qj
7,GOLD,BROCKHAMPTON,SATURATION,spotify:track:7HRv1sYuwgoea1m0JRvChV
7,I Like America & America Likes Me,The 1975,A Brief Inquiry Into Online Relationships,spotify:track:2Mf2Z4YXWqp80y7CKvOouS
7,M.O.N.E.Y.,The 1975,The 1975,spotify:track:6z80YE9RfqWEtWcbnj3Qac
7,On Melancholy Hill,Gorillaz,Plastic Beach,spotify:track:0q6LuUqGLUiCPP1cbdwFs3
7,Happen To Me,BENEE,Hey u x,spotify:track:4Kjo34blxmLG5HNUKEvHRM
7,CtrlAltDelete,BONES,UNRENDERED,spotify:track:1ZNVczQsUBA64aWhvWqaap
7,Bad N Bouj,Hp Boyz,Bad N Bouj,spotify:track:3XV2EL4JquJ7BEA4Tyi8Gl
7,Andromeda (feat. DRAM),Gorillaz,Humanz,spotify:track:2C0KFbb4v9CNWR5c9jWcKC
7,Hot Rod,Dayglow,Fuzzybrain,spotify:track:0zePbRMJ9sd7wsZRlbPQua
7,Humility (feat. George Benson),Gorillaz,The Now Now,spotify:track:3NeiYiBn3rQBgurfVk92Zm
7,Alive,Empire Of The Sun,Ice On The Dune,spotify:track:2O9O26335YYVckmRgPKY3s
7,DARE,Gorillaz,Demon Days,spotify:track:4Hff1IjRbLGeLgFgxvHflk
7,Rodeo,Lil Nas X,7 EP,spotify:track:4ak7xjvBeBOcJGWFDX9w5n
7,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,TESTING,spotify:track:7ycWLEP1GsNjVvcjawXz3z
7,Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,Lil Boat 3,spotify:track:0LEFmgIj8ABU7CelzGh5Bs
7,Baguetti (with JID & Kenny Beats),Smino,Baguetti (with JID & Kenny Beats),spotify:track:3DcL8FXLA9iKwqnyj9POLt
7,Gdzie jest biały węgorz ? (Zejście),Cypis,Narkotyki są nielegalne,spotify:track:4fNbS43X6yt4iWxLgRqwKa
7,STAR,BROCKHAMPTON,SATURATION,spotify:track:1xfFPJdRjgDAaMcDgbXwyh
7,Heat Waves,Glass Animals,Dreamland,spotify:track:02MWAaffLxlfxAUY7c5dvx
7,Sanctuary,Joji,Nectar,spotify:track:0rOLFkjY5DSIViVBNnzOuK
7,TEST DRIVE,Joji,BALLADS 1,spotify:track:1DMEzmAoQIikcL52psptQL
7,Will He,Joji,In Tongues (Deluxe),spotify:track:7wvwXi9Z66dcH5t202vVkN
7,"Boom, Boom, Boom, Boom!!",Vengaboys,"Boom, Boom, Boom, Boom!!",spotify:track:2Ld2LehpgQNREMxl9LlIzm
7,Bitter Fuck,Joji,In Tongues (Deluxe),spotify:track:7tmZ21lno9WK3K4Sezt6qj
7,Oxygène,C418,Minecraft - Volume Alpha,spotify:track:3sbcAG3y97g63yDSVMf38o
7,Dead Voxel,C418,Minecraft - Volume Beta,spotify:track:36Cv84a2qCZarCdtTcMJnj
7,Death,C418,Minecraft - Volume Alpha,spotify:track:4B6A1T91lF1IRKkBVwUzWe
7,Sweden,C418,Minecraft - Volume Alpha,spotify:track:4NsPgRYUdHu2Q5JRNgXYU5
7,Floating Trees,C418,Minecraft - Volume Beta,spotify:track:1mYAxcDROLJxGF6Q3W5mj9
7,Cat,C418,Minecraft - Volume Alpha,spotify:track:23uNiVgsIgoHC7eLet3kCI
7,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,KHALED KHALED,spotify:track:1cEhrSF6EylAEqdhUGuNpX
7,Afterglow,Wilkinson,Lazers Not Included,spotify:track:6LW3Z1GqbL78TIjfDyg4zp
7,"Evian (feat. PinkPantheress, Rizloski & Rax)",GoldLink,HARAM!,spotify:track:5uakDGEx9HegMZZi840VzH
7,Raindrops (feat. Flo Milli),GoldLink,HARAM!,spotify:track:6XBkVK0XMeSkXyG6lN2QDk
7,Twin (feat. Rich The Kid),GoldLink,HARAM!,spotify:track:1dCntlwr3SNMWtTEQzYAsx
7,MASSA,"Tyler, The Creator",CALL ME IF YOU GET LOST,spotify:track:2goHCrsDJaflEwQ930ef0o
